ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
FUSIP4-1|MAMPOSTERIA - MUROS Y ALBANILERIA|FUSIP4||carguedas|08/02/2016 12:00 PM|08/02/2017 12:00 PM||1|||0||0
FUSIP050|MUROS DE MAMPOSTERIA DE LADRILLO 6H PARA REVESTIR, ESPESOR ACABADO 0,20 M, DESTINADO A MUROS  EXTERNOS. ESPECIFICACIONES SEC. 501|FUSIP4-1||carguedas|08/02/2016 12:00 PM|08/02/2017 12:00 PM||0|||1000|M2|156.37
FUSIP551|MUROS DE MAMPOSTERIA DE LADRILLO HUECO 6H PARA REVESTIR, ESPESOR  ACABADO 0,15 M, DESTINADO A DIVISION DE AMBIENTES. ESPECIFICACIONES SEC. 501|FUSIP4-1||carguedas|08/05/2016 12:00 PM|08/02/2017 12:00 PM||0|||1111|M2|147.75
