ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
FUSIP-ARQ|ARQUITECTURA|||||||1|||0||0
FUSIP-ARQMA|MAMPOSTERIA - MUROS Y ALBANILERIA|FUSIP-ARQ||||||1|||0||0
FUSIP-ARQMA055|BORDILLO DE HORMIGON ARMADO  PARA CONFORMACION DE BORDE  DE JARDINERAS EN PLANTA BAJA H= 20 CM.   PLANO DE DETALLE D17.|FUSIP-ARQMA|||08/14/2017 12:00 PM|09/11/2017 12:00 PM||0|||55|ML|126,24
FUSIP-ARQMA056|BORDILLO DE HORMIGON ARMADO  PARA CONFORMACION DE BORDE  DE JARDINERAS EN PLANTA BAJA H= 20 CM.   PLANO DE DETALLE D17.|FUSIP-ARQMA|||08/14/2017 12:00 PM|09/11/2017 12:00 PM||0|||33|ML|126,24
