ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TK1709-0055|OBRAS PRELIMINARES Y COMPLEMENTARIAS|||usuario|25/09/2017 00:01|25/09/2017 23:59|||||||
TK1709-0056|INSTALACION DE FAENAS Y OBRAS PRELIMINARES|TK1709-0055||usuario|25/09/2017 00:01|25/09/2017 23:59|||||||
TK1709-0057|Construcciones provisorias|TK1709-0056||usuario|25/09/2017 00:01|25/09/2017 23:59|||||||
TK1709-0048|OBRA GRUESA|||uresidente|26/09/2017 00:00|29/09/2017 00:00|OBRA GRUESA||||||
TK1709-0050|FUNDACIONES|TK1709-0048||usuario|26/09/2017 00:00|27/09/2017 00:00|SUB TAREA||||||
TK1709-0049|Replanteo, trazado y niveles|TK1709-0050||usuario|26/09/2017 08:00|26/09/2017 10:00|||||||
TK1709-0053|Excavación|TK1709-0050||usuario|26/09/2017 10:01|26/09/2017 13:00|||||||
TK1709-0054|Emplantillado|TK1709-0050||usuario|26/09/2017 13:01|27/09/2017 14:30|||||||
