ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
FUSIP-EH|ESTRUCTURAS DE HORMIGON|||||||1|||0||0
FUSIP-EH0015|EJECUCION DE UNA CAPA DE HORMIGON DE LIMPIEZA.  TIPO H12.5. DE 5 CM DE ESPESOR. EN EL FONDO DE LAS FOSAS DESTINADAS A FUNDACIONES.  CONTENIDO MINIMO DE CEMENTO 150 KG/M3.  VER ET.|FUSIP-EH|||02/22/2016 12:00 PM|10/17/2016 12:00 PM||0|||7,52|M3|792,4
FUSIP-EH0016|EJECUCION DE LOSAS DE FUNDACION EN SOTANOS 2 Y 1. EN H.A. TIPO H25- E=0.60M. DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|FUSIP-EH|||02/22/2016 12:00 PM|11/14/2016 12:00 PM||0|||50,31|M3|2101,87
FUSIP-GAS|INSTALACION DE GAS|||||||1|||0||0
FUSIP-GAS546|VALVULAS DE ESFERA PARA ACOMETIDA|FUSIP-GAS|||09/04/2017 12:00 PM|09/25/2017 12:00 PM||0|||1|PZA|1647,5
FUSIP-GAS547|VALVULAS DE ESFERA PARA ACOMETIDA NUEVA ADICIONADA|FUSIP-GAS|||10/04/2017 12:00 PM|10/25/2017 12:00 PM||0|||2|PZA|1800
