ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TK1702-0019|Excavacion 0-1.5m terreno Blando|||directorproyectos; jseborga|01/02/2017 12:00 PM|24/02/2017 12:00 PM||0|||1.1|M3|52.76
TK1702-0020|Cimiento de HoCo|||directorproyectos; jseborga|01/02/2017 12:00 PM|28/02/2017 12:00 PM||0|||0.94|M3|533.27
TK1702-0022|Viga de Encadenado de HoAo|||directorproyectos; jseborga|01/02/2017 12:00 PM|28/02/2017 12:00 PM||0|||0.28|M3|2992.66
TK1702-0024|Muro de Ladrillo Visto|||jseborga|01/02/2017 12:00 PM|22/02/2017 12:00 PM||0|||11.55|M2|214.58
TK1702-0025|Pilar HoAo|||jseborga|01/02/2017 12:00 PM|23/02/2017 12:00 PM||0|||0.24|M3|3120.76
TK1702-0026|Botaaguas de HoAo 30x10cm|||jseborga|01/02/2017 12:00 PM|28/02/2017 12:00 PM||0|||0.19|LM|529.16
