ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TK1510-0047|Columnas de Hormigon Armado|TK1510-0020||jseborga|29/10/2015 12:00 AM|||0|||-20|M3|1000
TK1510-0028|excavacion manual de fosas destinadas a fundaciones aisladas y fundaciones corridas para muros, deacuerdo a planos estructura ver sec 204|TK1510-0021|IT010006|carguedas; jseborga|28/10/2015 12:00 AM|28/10/2015 07:50 PM||0|||265.46|M3|75.34
