ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TA015|Tarea de control 15|||admindb|20/01/2016 12:00 PM|22/01/2016 12:00 PM||0|||11.8|C2|0
TA016|Tarea de control 16|||jseborga|09/01/2016 12:00 PM|14/01/2016 12:00 PM||0|||12|C2|0
TA017|Tarea de control 17|||admindb|23/01/2016 12:00 PM|24/01/2016 12:00 PM||0|||14.4|C2|0
