nro;texto
60124022;
60157140;
60170032;
60390957;
60548188;
60560392;
60568738;
60596109;
60600869;
60613213;
60631668;
60666882;
60868262;
61104109;
65132366;
65148897;
65532807;
65555070;
65610918;
65627588;
65629234;
65673690;
67011129;
67032524;
67141002;
67180219;
67181180;
67314326;
68003461;
68003630;
68005514;
68059852;
68084718;
68091415;
68121407;
68212300;
69754812;
70102510;
70166258;
70168461;
70171464;
70172728;
70175285;
70180201;
70188991;
70434346;
70504300;
70530474;
70533264;
70534050;
70538152;
70554003;
70560362;
70564626;
70566985;
70592997;
70612123;
70625370;
70626201;
70626736;
70635510;
70648682;
70649227;
70653802;
70654585;
70658033;
70658889;
70673385;
70674480;
70685772;
