Ref.* (p.ref)|Etiqueta* (p.label)|Descripción (p.description)|URL pública (p.url)|Código contable ventas (p.accountancy_code_sell)|Código contable compras (p.accountancy_code_buy)|Nota (p.note)|Length (p.length)|Surface (p.surface)|Volume (p.volume)|Weight (p.weight)|Duración (p.duration)|Código aduanero (p.customcode)|PVP sin IVA (p.price)|PVP con IVA (p.price_ttc)|IVA (p.tva_tx)|En venta* (p.tosell)|En compra* (p.tobuy)|Tipo* (p.fk_product_type)|Naturaleza (p.finished)|Fecha de creación (p.datec)|Stock límite para alertas (p.seuil_stock_alerte)|Stock óptimo deseado (p.desiredstock)|Valor (PMP) (p.pmp)|CostPrice (p.cost_price)
01ED003|PIEDRA CANTEADA (TRJ) 40x30x10 APROX.|PZA||||||||||||0||1|1|0||||||
01ED004|PIEDRA CASCAJO|M3||||||||||||0||1|1|0||||||
01ED005|PIEDRA CHANCADA|M3||||||||||||0||1|1|0||||||
01ED006|PIEDRA CORTADA|PZA||||||||||||2,17848||1|1|0||||||
01ED007|PIEDRA LOSA (0.30x0.30)|M2||||||||||||0||1|1|0||||||
01EE001|MATERIAL CAPA BASE BERMAS TRITURADO|M3||||||||||||47,3976||1|1|0||||||
01EE002|MATERIAL CLASIFICADO|M3||||||||||||28,8144||1|1|0||||||
01EE003|MATERIAL DE BASE TRITURADO|M3||||||||||||85,3992||1|1|0||||||
01EE004|MATERIAL DE RELLENO|M3||||||||||||45,24||1|1|0||||||
01EE005|MATERIAL SELECCIONADO P/CAPA SUBBASE|M3||||||||||||26,796||1|1|0||||||
01EE006|MATERIAL TRITURADO|M3||||||||||||42,2472||1|1|0||||||
01EE020|CAPA VEGETAL|M3||||||||||||1,392||1|1|0||||||
01EE101|AGREGADOS COMBINADOS GRADUADOS|M3||||||||||||0||1|1|0||||||
01EE102|AGREGADOS PARA SELLOS|M3||||||||||||45,24||1|1|0||||||
01EE103|AGREGADOS SEPARADOS|M3||||||||||||116,3712||1|1|0||||||
01EF001|ARCILLA|M3||||||||||||118,4592||1|1|0||||||
01EF002|ARCILLA SELECCIONADA|M3||||||||||||44,72496||1|1|0||||||
01EF003|TIERRA CERNIDA|M3||||||||||||0||1|1|0||||||
01EG001|AGUA POTABLE|LT||||||||||||5,916||1|1|0||||||
01EG002|CANTO RODADO|M3||||||||||||0||1|1|0||||||
01EG003|CARBONILLA|M3||||||||||||0||1|1|0||||||
01EG004|CASCOTE DE LADRILLO|M3||||||||||||76,71312||1|1|0||||||
01EG005|CASCOTE DE VIDRIO|M3||||||||||||0||1|1|0||||||
01EG006|GRANULADO VOLCANICO|M3||||||||||||0||1|1|0||||||
01EG007|POLVO DE LADRILLO|M3||||||||||||0||1|1|0||||||
01EG008|TIERRA NEGRA|M3||||||||||||80,04696||1|1|0||||||
01EG009|TIERRA SELECCIONADA|M3||||||||||||47,3976||1|1|0||||||
01EG010|TIERRA VEGETAL (TURBA)|M3||||||||||||111,0816||1|1|0||||||
01FA002|SIKA 2 ACELERADOR ULTRARAPIDO|KG||||||||||||16,704||1|1|0||||||
01FA003|SIKA 2 ULTRARAPIDO|KG||||||||||||0||1|1|0||||||
01FA004|SIKA 3 ACELERADOR CONTROLABLE|KG||||||||||||15,9384||1|1|0||||||
01FA005|SIKA 3 CONTROLABLE|KG||||||||||||0||1|1|0||||||
01FA006|SIKA 4 IMPERMEABILIZACION|KG||||||||||||0||1|1|0||||||
01FA007|SIKA 4-A ACELERADOR - IMPERMEABILIZANTE|KG||||||||||||25,1952||1|1|0||||||
01FA008|SIKA SET ACELERADOR REDUCTOR DE AGUA|KG||||||||||||14,1984||1|1|0||||||
01FA009|ADITIVO SIKA AER|KG||||||||||||0||1|1|0||||||
01FB001|LINOX RO|KG||||||||||||0||1|1|0||||||
01FB002|PLASTIMENT VZ|KG||||||||||||0||1|1|0||||||
01FB003|LINOX 3|KG||||||||||||0||1|1|0||||||
01FB004|ADITIVO SIKA RETARDADOR|KG||||||||||||0||1|1|0||||||
01FC001|BINDA EXTRA IMPERMEABLE|KG||||||||||||15,5208||1|1|0||||||
01FC002|SIKA 1 IMPERMEABILIZANTE|KG||||||||||||11,6928||1|1|0||||||
01FC003|SIKAMENT F.86 SUPER PLASTIFICANTE|KG||||||||||||386,2104||1|1|0||||||
01FC004|ADITIVO ASFALTICO|LT||||||||||||0||1|1|0||||||
01FD001|SIKA LATEX ADHERENTE PARA MORTERO|KG||||||||||||165,4392||1|1|0||||||
01FD002|SIKA TOP 707 Gris (env 25 kg)|PZA||||||||||||533,08728||1|1|0||||||
01FD003|SIKACEM 810 REACTIVO PARA MORTERO|KG||||||||||||48,4416||1|1|0||||||
01FD004|ADITIVO MEJORAMIENTO DE ADHERENCIA|KG||||||||||||6,5424||1|1|0||||||
01FD005|ENDURECEDOR C/COLOR Y TEXTURA|KG||||||||||||5,79768||1|1|0||||||
01FD006|AGENTELIBERADOR PARA ENDURECEDOR|KG||||||||||||12,18||1|1|0||||||
01FD007|SELLADOR DE SILICA|LT||||||||||||6,96||1|1|0||||||
01FE001|RETTOCURING - AGENTE CURADO ANTISOL|LT||||||||||||7,3776||1|1|0||||||
01FE002|SIKADUR 31 ADHESIVO EXPOSICO|KG||||||||||||129,7344||1|1|0||||||
01FE003|SIKADUR 32 PUENTE DE ADHERENCIA|KG||||||||||||170,3112||1|1|0||||||
01JA001|POSTE PARA SE�ALIZACION|PZA||||||||||||270,048||1|1|0||||||
01JB001|VIGUETA Y COMPLEMENTO #12|M2||||||||||||68,208||1|1|0||||||
01JB002|VIGUETA PREFABRICADA|M2||||||||||||68,208||1|1|0||||||
01JB050|FONDO FALSO (VIGUETA PREFABRICADA)|PZA||||||||||||27,84||1|1|0||||||
01JC001|LOSA HUECA DE Ho.Po. 30X10 170 KG/M2|ML||||||||||||0||1|1|0||||||
01JC002|LOSA HUECA DE Ho.Po. 30X12 185 KG/M2|ML||||||||||||0||1|1|0||||||
01JC003|LOSA HUECA DE Ho.Po. 30X16 225 KG/M2|ML||||||||||||0||1|1|0||||||
01JC004|LOSA HUECA DE Ho.Po. 60X10 170 KG/M2|ML||||||||||||0||1|1|0||||||
01JC005|LOSA HUECA DE Ho.Po. 60X12 185 KG/M2|ML||||||||||||0||1|1|0||||||
01JC006|LOSA HUECA DE Ho.Po. 60X16 225 KG/M2|ML||||||||||||0||1|1|0||||||
01JC007|LOSA HUECA DE Ho.Po. 60X20 300 KG/M2|ML||||||||||||0||1|1|0||||||
01JC008|LOSA HUECA DE Ho.Po.120X10 170 KG/M2|ML||||||||||||0||1|1|0||||||
01JC009|LOSA HUECA DE Ho.Po.120X10 225 KG/M2|ML||||||||||||0||1|1|0||||||
01JC010|LOSA HUECA DE Ho.Po.120X12 185 KG/M2|ML||||||||||||0||1|1|0||||||
01JC011|LOSA HUECA DE Ho.Po.120X20 300 KG/M2|ML||||||||||||0||1|1|0||||||
01JC101|CAJONES P/LOSA DE HO AO VISTO|PZA||||||||||||8,02488||1|1|0||||||
01JE001|CORDONES DE ACERA|ML||||||||||||24,36||1|1|0||||||
02AA001|LADRILLO CERAMICO GAMBOTE 24X11X6|PZA||||||||||||0,6264||1|1|0||||||
02AA002|LADRILLO COMUN 1a. 23X11X5|PZA||||||||||||0||1|1|0||||||
02AA003|LADRILLO COMUN 2a. 23X11X5|PZA||||||||||||0||1|1|0||||||
02AA004|LADRILLO COMUN DOBLE  6X20X20|PZA||||||||||||0||1|1|0||||||
02AA005|LADRILLO COMUN SIMPLE 6X10X20|PZA||||||||||||0||1|1|0||||||
02AA006|LADRILLO COMUN TRIPLE 6X20X30|PZA||||||||||||0||1|1|0||||||
02AA007|LADRILLO GAMBOTE RUSTICO  25X12X5|PZA||||||||||||0,49416||1|1|0||||||
02AA008|LADRILLO PRENSADO  6x12x25|PZA||||||||||||0,8004||1|1|0||||||
02AB001|LADRILLO CERAMICO  2H 24X12X6|PZA||||||||||||0,4872||1|1|0||||||
02AB002|LADRILLO CERAMICO  3H 24X15X8|PZA||||||||||||0,5916||1|1|0||||||
02AB003|LADRILLO CERAMICO  3H 25X12X8|PZA||||||||||||0,7656||1|1|0||||||
02AB004|LADRILLO CERAMICO  3H 25X18X8|PZA||||||||||||0,81432||1|1|0||||||
02AB005|LADRILLO CERAMICO  4H 245X12X8|PZA||||||||||||0||1|1|0||||||
02AB006|LADRILLO CERAMICO  6H 12X15X10|PZA||||||||||||0,696||1|1|0||||||
02AB007|LADRILLO CERAMICO  6H 24X16X11|PZA||||||||||||0,85608||1|1|0||||||
02AB008|LADRILLO CERAMICO  6H 25X15X10|PZA||||||||||||0,91176||1|1|0||||||
02AB009|LADRILLO CERAMICO  6H 25X18X12|PZA||||||||||||1,20408||1|1|0||||||
02AB010|LADRILLO CERAMICO  6H 25X25X13|PZA||||||||||||0,9744||1|1|0||||||
02AB011|LADRILLO CERAMICO  6H 40X15X10|PZA||||||||||||0||1|1|0||||||
02AB012|LADRILLO CERAMICO  8H 25X20X10|PZA||||||||||||1,1832||1|1|0||||||
02AB013|LADRILLO CERAMICO 10H NORMAL|PZA||||||||||||0||1|1|0||||||
02AB014|LADRILLO CERAMICO 15H 15X37X20|PZA||||||||||||0||1|1|0||||||
02AB015|LADRILLO CERAMICO 15H 25X12X8|PZA||||||||||||0||1|1|0||||||
02AB016|LADRILLO CERAMICO 18H 25X12X5|PZA||||||||||||1,07184||1|1|0||||||
02AB017|LADRILLO CERAMICO 21H 25X12X7|PZA||||||||||||0||1|1|0||||||
02AB018|LADRILLO ESQUINERO  4H NORMAL|PZA||||||||||||0||1|1|0||||||
02AB019|LADRILLO ESQUINERO  6H NORMAL|PZA||||||||||||0||1|1|0||||||
02AB020|LADRILLO ESQUINERO  8H NORMAL|PZA||||||||||||0||1|1|0||||||
02AB021|LADRILLO ESQUINERO 10H NORMAL|PZA||||||||||||0||1|1|0||||||
02AB022|LADRILLO ESQUINERO 18H 25X12X6|PZA||||||||||||0||1|1|0||||||
02AB023|LADRILLO ESQUINERO 24H 24X17.5X6|PZA||||||||||||0||1|1|0||||||
02AB050|LADRILLO TUBULAR  11X13X26|PZA||||||||||||0,7308||1|1|0||||||
02AC001|CELOSIA CERAMICA E= 9cm 16X16|PZA||||||||||||1,09272||1|1|0||||||
02AC002|CELOSIA CERAMICA E= 9cm 18.5X 18.5|PZA||||||||||||0||1|1|0||||||
02AC003|CELOSIA CERAMICA E= 9cm 21X12|PZA||||||||||||0||1|1|0||||||
02AC004|CELOSIA CERAMICA E= 9cm 24X12|PZA||||||||||||0||1|1|0||||||
02AC005|CELOSIA CERAMICA E=10cm 18x18|PZA||||||||||||27,38064||1|1|0||||||
02AC006|CERAMICA CERRAM. # 12|PZA||||||||||||2,25504||1|1|0||||||
02AC007|CERAMICA VIGAS   # 12|PZA||||||||||||2,01144||1|1|0||||||
02AF001|"BLOQUE ORNAMENTAL TIPO ""1"""|PZA||||||||||||0||1|1|0||||||
02AF002|"BLOQUE ORNAMENTAL TIPO ""A"""|PZA||||||||||||0||1|1|0||||||
02AF003|"BLOQUE ORNAMENTAL TIPO ""B"""|PZA||||||||||||0||1|1|0||||||
02AF004|"BLOQUE ORNAMENTAL TIPO ""C"""|PZA||||||||||||0||1|1|0||||||
02AF005|"BLOQUE ORNAMENTAL TIPO ""D"""|PZA||||||||||||0||1|1|0||||||
02AG004|LADRILLO PARA PAV EXT 4X12X25|PZA||||||||||||0||1|1|0||||||
02AG005|LADRILLO PARASOL CUADRADO|PZA||||||||||||0||1|1|0||||||
02BA005|CELOSIA DE CEMENTO|M2||||||||||||103,356||1|1|0||||||
02BA006|CELOSIA DE HORMIGON 30X30X17|M2||||||||||||0||1|1|0||||||
02BA007|CELOSIA DE HORMIGON 33X33X8|M2||||||||||||0||1|1|0||||||
02BB001|ADOBE DE 30x20x10 CM|PZA||||||||||||0,56376||1|1|0||||||
02BB002|ADOBE DE 40x20x10 CM|PZA||||||||||||0,67512||1|1|0||||||
02BB003|ADOBE DE 40x30x10 CM|PZA||||||||||||0,64032||1|1|0||||||
02BB004|ADOBE DE 45x25x10 CM|PZA||||||||||||0,59856||1|1|0||||||
02BB005|ADOBE DE 60x30x10 CM|PZA||||||||||||0||1|1|0||||||
02BB006|ADOBITO|PZA||||||||||||0,2784||1|1|0||||||
02BC001|BLOQUE DE CEMENTO 10X20X10 CM|PZA||||||||||||0||1|1|0||||||
02BC002|BLOQUE DE CEMENTO 10X20X20 CM|PZA||||||||||||2,27592||1|1|0||||||
02BC003|BLOQUE DE CEMENTO 10X20X30 CM|PZA||||||||||||0||1|1|0||||||
02BC004|BLOQUE DE CEMENTO 10x20x40 CM|PZA||||||||||||4,16208||1|1|0||||||
02BC005|BLOQUE DE CEMENTO 15X20X10 CM|PZA||||||||||||0||1|1|0||||||
02BC006|BLOQUE DE CEMENTO 15X20X20 CM|PZA||||||||||||0||1|1|0||||||
02BC007|BLOQUE DE CEMENTO 15X20X30 CM|PZA||||||||||||0||1|1|0||||||
02BC008|BLOQUE DE CEMENTO 15X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC009|BLOQUE DE CEMENTO 20X20X10 CM|PZA||||||||||||0||1|1|0||||||
02BC010|BLOQUE DE CEMENTO 20X20X20 CM|PZA||||||||||||0||1|1|0||||||
02BC011|BLOQUE DE CEMENTO 20X20X30 CM|PZA||||||||||||0||1|1|0||||||
02BC012|BLOQUE DE CEMENTO 20x20x40 CM|PZA||||||||||||4,88592||1|1|0||||||
02BC013|BLOQUE DE CEMENTO 25X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC014|BLOQUE DE CEMENTO 30X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC035|BLOQUE DE SUELO CEMENTO 29x14x10 CM|PZA||||||||||||0||1|1|0||||||
02BC100|BLOQUE DE HORMIGON 2H 15x20x40 CM|PZA||||||||||||6,8904||1|1|0||||||
02BC101|BLOQUE DE HORMIGON 2H 40X20X15 CM|PZA||||||||||||0||1|1|0||||||
02BC102|BLOQUE DE HORMIGON 2H 40X20X10 CM|PZA||||||||||||0||1|1|0||||||
02BC103|BLOQUE DE HORMIGON 2H 40X20X20 CM|PZA||||||||||||11,6928||1|1|0||||||
02BC154|BLOQUE DE HORMIGON 3H 20X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC155|BLOQUE DE HORMIGON 3H 25X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC156|BLOQUE DE HORMIGON 3H 30X20X40 CM|PZA||||||||||||0||1|1|0||||||
02BC157|BLOQUE DE HORMIGON 3H 40X20X18 CM|PZA||||||||||||0||1|1|0||||||
02BD001|BLOQUE DE VIDRIO 20x20 CM|PZA||||||||||||23,1768||1|1|0||||||
02CA001|ADOQUIN COMANCHE|PZA||||||||||||2,2968||1|1|0||||||
02CA002|ADOQUIN|M2||||||||||||0||1|1|0||||||
02CB001|LOSETA DOBLE T  10 cm|PZA||||||||||||2,13672||1|1|0||||||
02CB002|LOSETA HEXAGONAL  6 cm|PZA||||||||||||1,85832||1|1|0||||||
02CB003|LOSETA ONDULADA|PZA||||||||||||2,13672||1|1|0||||||
02CB004|LOSETAS|M2||||||||||||0||1|1|0||||||
03AC001|"MADERA LAURES ASERRADA 2""X4"""|P2||||||||||||0||1|1|0||||||
03AC002|"MADERA LAURES ASERRADA 2""X6"""|P2||||||||||||4,13424||1|1|0||||||
03AC003|"MADERA LAURES ASERRADA 2""X8"""|P2||||||||||||279,52056||1|1|0||||||
03AD001|MADERA MARA|P2||||||||||||8,95056||1|1|0||||||
03AD002|MADERA MARA CEPILLADA|P2||||||||||||10,1616||1|1|0||||||
03AE001|MADERA ALMENDRILLO|P2||||||||||||5,6028||1|1|0||||||
03AF001|MADERA TAJIBO (CEPILLADA)|P2||||||||||||6,90432||1|1|0||||||
03AF002|"MADERA TAJIBO ASERRADA 2""X4"""|P2||||||||||||0||1|1|0||||||
03AF003|"MADERA TAJIBO ASERRADA 2""X6"""|P2||||||||||||0||1|1|0||||||
03AF004|"MADERA TAJIBO ASERRADA 2""X8"""|P2||||||||||||0||1|1|0||||||
03AF055|"MADERA VICHITURIQUI 2""X4"""|P2||||||||||||0||1|1|0||||||
03AF056|"MADERA VICHITURIQUI 2""X6"""|P2||||||||||||0||1|1|0||||||
03AF057|"MADERA VICHITURIQUI 2""X8"""|P2||||||||||||0||1|1|0||||||
03AG001|MADERA ROBLE|P2||||||||||||6,63984||1|1|0||||||
03AH001|"MADERA PALO MARIA 2""X4"""|P2||||||||||||0||1|1|0||||||
03AH002|"MADERA PALO MARIA 2""X6"""|P2||||||||||||0||1|1|0||||||
03AH003|"MADERA PALO MARIA 2""X8"""|P2||||||||||||0||1|1|0||||||
03AJ001|MADERA (CUCHI)|P2||||||||||||5,85336||1|1|0||||||
03AK001|"MADERA VERDOLAGO 1"""|P2||||||||||||5,33832||1|1|0||||||
03AL001|VIGA DE MADERA|ML||||||||||||15,84792||1|1|0||||||
03AL002|"VIGA DE MADERA DE 4"" X 8"""|ML||||||||||||20,96352||1|1|0||||||
03AL003|"VIGA DE MADERA 7"" X 4"""|ML||||||||||||1,39896||1|1|0||||||
03BA001|VENESTA CEDRO 1 CARA  4MM|P2||||||||||||6,1944||1|1|0||||||
03BA002|VENESTA CEDRO 2 CARAS 4MM|P2||||||||||||0||1|1|0||||||
03BA003|VENESTA MORADO 1 CARA  4MM|P2||||||||||||0||1|1|0||||||
03BA004|VENESTA MORADO 2 CARAS 4MM|P2||||||||||||0||1|1|0||||||
03BA005|VENESTA PALO MARIA 1 CARA  4MM|P2||||||||||||0||1|1|0||||||
03BA006|VENESTA PALO MARIA 2 CARAS 4MM|P2||||||||||||0||1|1|0||||||
03BA007|VENESTA PALOMARIA 1 CARA  4MM|P2||||||||||||0||1|1|0||||||
03BA008|VENESTA PALOMARIA 2 CARAS 4MM|P2||||||||||||0||1|1|0||||||
03BA009|VENESTA ROBLE 1 CARA  4MM|P2||||||||||||0||1|1|0||||||
03BA010|VENESTA ROBLE 2 CARAS   4MM|P2||||||||||||0||1|1|0||||||
03BA011|VENESTA ROBLE B 1 CARA  4MM|P2||||||||||||0||1|1|0||||||
03BA012|VENESTA SEREBO  244 x 122 x 4 mm|PZA||||||||||||55,7496||1|1|0||||||
03BB001|TABLERO MARA 2 CARAS   20MM|P2||||||||||||0||1|1|0||||||
03BB002|TABLERO MARA A 2 CARAS 20MM|P2||||||||||||0||1|1|0||||||
03BB003|TABLERO MARA B 2 CARAS 20MM|P2||||||||||||0||1|1|0||||||
03BB004|TABLERO ROBLE 2 CARAS  20MM|P2||||||||||||0||1|1|0||||||
03BB005|TABLERO ROBLE A 2 CARAS   20MM|P2||||||||||||0||1|1|0||||||
03BB010|TABLERO TERCIADO RESINADO 17 MM|M2||||||||||||0||1|1|0||||||
03BC001|MULTILAMIN. MARA  2 CARAS 10MM|P2||||||||||||27,67296||1|1|0||||||
03BC002|MULTILAMIN. ROBLE 2 CARAS 10MM|P2||||||||||||0||1|1|0||||||
03BC003|MULTILAMINADOS SEREBO   244 x 122 x 4 mm|PZA||||||||||||76,92888||1|1|0||||||
03CA001|AGLOMER. MOGUITAN MARA  19 MM|P2||||||||||||0||1|1|0||||||
03CA002|AGLOMER. MOGUITAN ROBEL 20 MM|P2||||||||||||0||1|1|0||||||
03CA003|AGLOMER. MOGUITAN S/ENCHAPE 19 MM|P2||||||||||||0||1|1|0||||||
03DA001|MADERA CONSTRUCCION (CEPILLADA)|P2||||||||||||4,73976||1|1|0||||||
03DA002|MADERA DE CONSTRUCCION|P2||||||||||||3,55656||1|1|0||||||
03DA003|MADERA DE ENCOFRADO|P2||||||||||||2,73528||1|1|0||||||
03EA001|"ROLLIZO DE MADERA DE  3"""|ML||||||||||||3,88368||1|1|0||||||
03EA002|"ROLLIZO DE MADERA DE  4"""|ML||||||||||||5,07384||1|1|0||||||
03EA003|"ROLLIZO DE MADERA DE  6"""|ML||||||||||||7,83696||1|1|0||||||
03EA004|"ROLLIZO DE MADERA DE  8"""|ML||||||||||||11,71368||1|1|0||||||
03EA005|"ROLLIZO DE MADERA DE 12"""|ML||||||||||||16,03584||1|1|0||||||
03EB001|ESTACAS DE MADERA|PZA||||||||||||2,9928||1|1|0||||||
03EB002|MACHONES Y BOLILLOS|ML||||||||||||0||1|1|0||||||
03EC001|PUNTALES DE MADERA|ML||||||||||||2,02536||1|1|0||||||
03EC002|PUNTALES DE 6 M|PZA||||||||||||0||1|1|0||||||
03EC003|PUNTALES|ML||||||||||||1,78872||1|1|0||||||
03EC050|POSTE DE CUCHI DE 12.5 MTS|PZA||||||||||||371,0028||1|1|0||||||
03ED001|"LISTON 2"" X 1"""|ML||||||||||||0,66816||1|1|0||||||
03ED002|"LISTON 2"" X 2"""|ML||||||||||||2,79792||1|1|0||||||
03ED003|"LISTON 2"" X 4"""|ML||||||||||||10,48176||1|1|0||||||
03ED050|"LISTON 2"" X 2"""|P2||||||||||||2,1924||1|1|0||||||
03ED051|"LISTON 2"" X 4"""|P2||||||||||||3,35472||1|1|0||||||
03EF001|TACOS DE MADEAR 2X6X6|P2||||||||||||4,34304||1|1|0||||||
03EF002|TACOS DE MADERA|PZA||||||||||||0||1|1|0||||||
04AA001|BARRA DE ACERO ALTA RESISTENCIA|KG||||||||||||4,23864||1|1|0||||||
04AB001|BARRA DE ACERO CORRUGADO|KG||||||||||||4,49616||1|1|0||||||
