Ref.* (p.ref)|Etiqueta* (p.label)|Descripción (p.description)|URL pública (p.url)|Código contable ventas (p.accountancy_code_sell)|Código contable compras (p.accountancy_code_buy)|Nota (p.note)|Length (p.length)|Surface (p.surface)|Volume (p.volume)|Weight (p.weight)|Duración (p.duration)|Código aduanero (p.customcode)|PVP sin IVA (p.price)|PVP con IVA (p.price_ttc)|IVA (p.tva_tx)|En venta* (p.tosell)|En compra* (p.tobuy)|Tipo* (p.fk_product_type)|Naturaleza (p.finished)|Fecha de creación (p.datec)|Stock límite para alertas (p.seuil_stock_alerte)|Stock óptimo deseado (p.desiredstock)|Valor (PMP) (p.pmp)|CostPrice (p.cost_price)
26AA007|"PUERTA MAD.MARA TAB.2"" SIN MARCO"|M2||||||||||||359,76936||1|1|0||||||
26AA008|PUERTA PLACA (MARA)|M2||||||||||||339,66888||1|1|0||||||
26AA009|"PUERTA PLACA 2 C/MARCO 2""x6"""|M2||||||||||||394,51368||1|1|0||||||
26AA010|PUERTA PLACA MADERA BIBOSI e = 45mm|M2||||||||||||0||1|1|0||||||
26AA011|PUERTA PLACA MADERA CEROBE e = 45mm|M2||||||||||||0||1|1|0||||||
26AA012|PUERTA PLACA MADERA MARA e = 45mm|M2||||||||||||0||1|1|0||||||
26AA013|PUERTA PLACA MADERA MORADO e = 45mm|M2||||||||||||0||1|1|0||||||
26AA014|PUERTA PLACA MADERA ROBLE e = 45mm|M2||||||||||||0||1|1|0||||||
26AA015|PUERTA PLACA CON FORMICA|M2||||||||||||311,99592||1|1|0||||||
26AA016|PUERTA PLACA DE CORRER C/RI. U|M2||||||||||||139,7568||1|1|0||||||
26AA050|PUERTA TABLERO MADERA ROBLE  e = 45mm|M2||||||||||||0||1|1|0||||||
26AA101|PUERTA FORMICA|M2||||||||||||278,4||1|1|0||||||
26AB001|PUERTA DE MALLA OLIMPICA  0,7 x 1,6|PZA||||||||||||100,8504||1|1|0||||||
26AB002|PUERTA METALICA|M2||||||||||||553,32||1|1|0||||||
26AB003|CORTINA ARROLLABLE C/TAPA ROLL|M2||||||||||||149,02752||1|1|0||||||
26AB004|PUERTA AROLLABLE|M2||||||||||||264,48||1|1|0||||||
26AB005|CORTINA ARROL. DE MOTOR AUTOMA|M2||||||||||||143,67528||1|1|0||||||
26AC001|PUERTA CORREDIZA DE AL C/VIDR. 2.4 x 2|PZA||||||||||||2041,5768||1|1|0||||||
26AC002|PUERTA DE GARAG  A.P.|ML||||||||||||8,72088||1|1|0||||||
26AC003|PUERTA DE VIDRIO TEMPLADO|M2||||||||||||404,40384||1|1|0||||||
26AC004|PUERTA PLEGABLE|M2||||||||||||1,62168||1|1|0||||||
26AC005|PUERTA VIDRIERA 45 MM|M2||||||||||||295,974||1|1|0||||||
26BA001|VENTANA DE MADERA RUSTICA|M2||||||||||||51,852||1|1|0||||||
26BA002|"VENTANA MADERA ROBLE C/marco 2""x6"""|M2||||||||||||294,8256||1|1|0||||||
26BA003|"VENTANA MADERA SEMIDURA C/MARCO 2""X4"""|M2||||||||||||238,99248||1|1|0||||||
26BA004|"VENTANA MADERA SEMIDURA C/MARCO 2""x3"""|M2||||||||||||205,0068||1|1|0||||||
26BA005|"VENTANA MADERA SEMIDURA C/MARCO 2""x6"""|M2||||||||||||299,29392||1|1|0||||||
26BA006|VENTANA CORREDIZA DE MADERA|M2||||||||||||104,8176||1|1|0||||||
26BB001|VENTANA METALICA C/FE ANGULAR 1/4x 1/8|PZA||||||||||||121,452||1|1|0||||||
26BC001|VENTANA CORREDIZA DE AL 1.00X1.20  2 HJS|PZA||||||||||||530,1432||1|1|0||||||
26BC002|VENTANA CORREDIZA DE AL 2.00X1.20  3 HJS|PZA||||||||||||884,0592||1|1|0||||||
26BC003|VENTANA CORREDIZA DE AL 3.00X1.20  4 HJS|PZA||||||||||||0||1|1|0||||||
26BC004|VENTANA DE ALU. ANODIZADO|M2||||||||||||626,4||1|1|0||||||
26BC005|VENTANA DE ALUMINIO|M2||||||||||||870||1|1|0||||||
26BC006|VENTANA VASCULANTE DE ALUMINIO|M2||||||||||||1,39896||1|1|0||||||
26BD001|VENTANA DE VIDRIO TEMPLADO|M2||||||||||||404,50128||1|1|0||||||
26BD002|VENTANA TIPO PERSIANA C/M.2X6|M2||||||||||||1,39896||1|1|0||||||
26BD003|VENTANA MALLERA|M2||||||||||||134,16792||1|1|0||||||
26CA001|"MARCO DE MADERA MARA 2""X2"""|ML||||||||||||0||1|1|0||||||
26CA002|"MARCO DE MADERA MARA 2""X3"""|ML||||||||||||16,7736||1|1|0||||||
26CA003|"MARCO DE MADERA MARA 2""X4"""|ML||||||||||||32,79552||1|1|0||||||
26CA004|"MARCO DE MADERA MARA 2""X6"""|ML||||||||||||30,87456||1|1|0||||||
26CA005|"MARCO DE MADERA ROBLE 2""X2"""|ML||||||||||||0||1|1|0||||||
26CA006|"MARCO DE MADERA ROBLE 2""X3"""|ML||||||||||||0||1|1|0||||||
26CA007|"MARCO DE MADERA ROBLE 2""X4"""|ML||||||||||||0||1|1|0||||||
26CA008|"MARCO DE MADERA ROBLE 2""X6"""|ML||||||||||||0||1|1|0||||||
26CA009|"MARCO DE MADERA SEMIDURA 2""X2"""|ML||||||||||||20,87304||1|1|0||||||
26CA010|"MARCO DE MADERA SEMIDURA 2""X3"""|ML||||||||||||23,36472||1|1|0||||||
26CA011|"MARCO DE MADERA SEMIDURA 2""X6"""|ML||||||||||||37,1664||1|1|0||||||
26CB001|MARCO METALICOS PARA PUERTAS|ML||||||||||||1,62168||1|1|0||||||
26CD001|"UMBRALES DE MADERA TAJIBO 2"""|ML||||||||||||33,35928||1|1|0||||||
26CF001|PROTECTOR DE VENTANAS|M2||||||||||||104,4||1|1|0||||||
27AA001|VIDRIO COLOR (Bronce, Gris, Verde) 10 MM|P2||||||||||||26,78904||1|1|0||||||
27AA002|VIDRIO COLOR (Bronce, Gris, Verde) 2.5MM|P2||||||||||||7,75344||1|1|0||||||
27AA003|VIDRIO COLOR (Bronce, Gris, Verde) 3 MM|P2||||||||||||8,57472||1|1|0||||||
27AA004|VIDRIO COLOR (Bronce, Gris, Verde) 4 MM|P2||||||||||||10,98984||1|1|0||||||
27AA005|VIDRIO COLOR (Bronce, Gris, Verde) 5 MM|P2||||||||||||14,07312||1|1|0||||||
27AA006|VIDRIO COLOR (Bronce, Gris, Verde) 6 MM|P2||||||||||||17,05896||1|1|0||||||
27AA007|VIDRIO COLOR (Bronce, Gris, Verde) 8 MM|P2||||||||||||22,62||1|1|0||||||
27AA008|VIDRIO DOBLE INCOLORO (0.29 - 0.34 cm.)|P2||||||||||||5,4984||1|1|0||||||
27AA009|VIDRIO INCOLORO DE 2 mm|P2||||||||||||12,64632||1|1|0||||||
27AA010|VIDRIO INCOLORO DE 3 mm.|P2||||||||||||4,27344||1|1|0||||||
27AA011|VIDRIO INCOLORO DE 4 mm|P2||||||||||||10,27992||1|1|0||||||
27AA012|VIDRIO INCOLORO DE 6 mm|P2||||||||||||14,49072||1|1|0||||||
27AA013|VIDRIO INCOLORO DE 8 mm|P2||||||||||||19,20264||1|1|0||||||
27AA014|VIDRIO INCOLORO DE10 mm|P2||||||||||||23,49696||1|1|0||||||
27AA015|VIDRIO SIMPLE INCOLORO (0.22 - 0.26 cm)|P2||||||||||||4,23168||1|1|0||||||
27AB001|CRISTAL FLOAT CATEDRAL INCOL 4MM|M2||||||||||||0||1|1|0||||||
27AB002|CRISTAL FLOAT COLOR 2.5 MM|M2||||||||||||0||1|1|0||||||
27AB003|CRISTAL FLOAT COLOR 3 MM|M2||||||||||||0||1|1|0||||||
27AB004|CRISTAL FLOAT COLOR 4 MM|M2||||||||||||0||1|1|0||||||
27AB005|CRISTAL FLOAT COLOR 5 MM|M2||||||||||||0||1|1|0||||||
27AB006|CRISTAL FLOAT COLOR 6 MM|M2||||||||||||0||1|1|0||||||
27AB007|CRISTAL FLOAT INCOL 2 MM|M2||||||||||||0||1|1|0||||||
27AB008|CRISTAL FLOAT INCOL 3 MM|M2||||||||||||0||1|1|0||||||
27AB009|CRISTAL FLOAT INCOL 4 MM|M2||||||||||||0||1|1|0||||||
27AB010|CRISTAL FLOAT INCOL 5 MM|M2||||||||||||0||1|1|0||||||
27AB011|CRISTAL FLOAT INCOL 6 MM|M2||||||||||||0||1|1|0||||||
27AB012|CRISTAL FLOAT INCOL TR. 2 MM|M2||||||||||||0||1|1|0||||||
27AB013|CRISTAL FLOAT INCOL TR. 3 MM|M2||||||||||||0||1|1|0||||||
27AB014|CRISTAL FLOAT INCOL TR. 4 MM|M2||||||||||||0||1|1|0||||||
27AB015|CRISTAL FLOAT INCOL TR. 5 MM|M2||||||||||||0||1|1|0||||||
27AB016|CRISTAL FLOAT INCOL TR. 6 MM|M2||||||||||||0||1|1|0||||||
27AB017|CRISTAL FLOAT STIPOLLITE COLOR 4 MM|M2||||||||||||0||1|1|0||||||
27AB018|VIDRIO CATEDRAL DE COLOR 4 mm.|P2||||||||||||8,874||1|1|0||||||
27AB019|VIDRIO CATEDRAL INCOLORO 3 mm.|M2||||||||||||44,7528||1|1|0||||||
27AB020|VIDRIO CATEDRAL INCOLORO 4 mm.|P2||||||||||||5,58192||1|1|0||||||
27AC001|VIDRIO ARMADO 6 mm. P/ CUBIERTAS|M2||||||||||||168,34848||1|1|0||||||
27AC002|VIDRIO COLOR TEMPLADO (Brc,gris,ver) 4MM|M2||||||||||||298,4448||1|1|0||||||
27AC003|VIDRIO COLOR TEMPLADO (Brc,gris,ver) 5mm|M2||||||||||||339,15384||1|1|0||||||
27AC004|VIDRIO COLOR TEMPLADO (Brc,gris,ver) 6MM|M2||||||||||||381,31056||1|1|0||||||
27AC005|VIDRIO COLOR TEMPLADO (Brc,gris,ver) 8MM|M2||||||||||||431,29728||1|1|0||||||
27AC006|VIDRIO COLOR TEMPLADO (Brc,gris,ver)10MM|M2||||||||||||509,73648||1|1|0||||||
27AC007|VIDRIO INCOLORO TEMPLADO 4 mm.|M2||||||||||||230,55||1|1|0||||||
27AC008|VIDRIO INCOLORO TEMPLADO 5 mm.|M2||||||||||||284,53176||1|1|0||||||
27AC009|VIDRIO INCOLORO TEMPLADO 6 mm.|M2||||||||||||324,162||1|1|0||||||
27AC010|VIDRIO INCOLORO TEMPLADO 8 mm.|M2||||||||||||368,87304||1|1|0||||||
27AC011|VIDRIO INCOLORO TEMPLADO DE 10 mm|M2||||||||||||413,72328||1|1|0||||||
27BA001|ESPEJOS COLOR (Bronce, gris, verde) 3MM|P2||||||||||||15,7644||1|1|0||||||
27BA002|ESPEJOS COLOR (Bronce, gris, verde) 4mm|P2||||||||||||18,43008||1|1|0||||||
27BA003|ESPEJOS COLOR (Bronce, gris, verde) 5mm|P2||||||||||||22,89144||1|1|0||||||
27BA004|ESPEJOS INCOLOROS 2 mm.|P2||||||||||||9,68136||1|1|0||||||
27BA005|ESPEJOS INCOLOROS 2.5 mm.|P2||||||||||||10,86456||1|1|0||||||
27BA006|ESPEJOS INCOLOROS 3 mm.|P2||||||||||||12,30528||1|1|0||||||
27BA007|ESPEJOS INCOLOROS 4 mm.|P2||||||||||||15,3468||1|1|0||||||
27BA008|ESPEJOS INCOLOROS 5 mm.|P2||||||||||||17,56704||1|1|0||||||
27BB001|ACRILICO LISO 2 X 1 X 2 mm.|M2||||||||||||161,90352||1|1|0||||||
27BB002|ACRILICO LISO 2 X 1 X 3 mm.|M2||||||||||||217,5696||1|1|0||||||
27BB003|ACRILICO LISO 2 X 1 X 5 mm.|M2||||||||||||382,07616||1|1|0||||||
27BB004|ACRILICO LISO 2 X 1 X 8 mm.|M2||||||||||||625,6344||1|1|0||||||
27BB005|ACRILICO LISO 2 X 1 X10 mm.|M2||||||||||||821,6976||1|1|0||||||
27BB006|ACRILICO LISO 2.4 X 1.2 X 2 mm.|M2||||||||||||154,80432||1|1|0||||||
27BB007|ACRILICO LISO 2.4 X 1.2 X 3 mm.|M2||||||||||||237,69096||1|1|0||||||
27BB008|ACRILICO LISO 2.4 X 1.2 X 5 mm.|M2||||||||||||404,08368||1|1|0||||||
27BB009|ACRILICO LISO 2.4 X 1.2 X 8 mm.|M2||||||||||||660,07944||1|1|0||||||
27BB010|ACRILICO LISO 2.4 X 1.2 X10 mm.|M2||||||||||||869,5824||1|1|0||||||
27BB111|ACRILICO MARTILLADO 2 X 1 X 2 mm.|M2||||||||||||171,84936||1|1|0||||||
27BB112|ACRILICO MARTILLADO 2 X 1 X 3 mm.|M2||||||||||||234,6216||1|1|0||||||
27BB113|ACRILICO MARTILLADO 2 X 1 X 5 mm.|M2||||||||||||400,05384||1|1|0||||||
27BB114|ACRILICO MARTILLADO 2 X 1 X 8 mm.|M2||||||||||||655,9104||1|1|0||||||
27BB115|ACRILICO MARTILLADO 2 X 1 X10 mm.|M2||||||||||||881,14992||1|1|0||||||
27BB116|ACRILICO MARTILLADO 2.4 X 1.2 X 2 mm.|M2||||||||||||160,76904||1|1|0||||||
27BB117|ACRILICO MARTILLADO 2.4 X 1.2 X 3 mm.|M2||||||||||||248,8896||1|1|0||||||
27BB118|ACRILICO MARTILLADO 2.4 X 1.2 X 5 mm.|M2||||||||||||423,59952||1|1|0||||||
27BB119|ACRILICO MARTILLADO 2.4 X 1.2 X 8 mm.|M2||||||||||||694,26||1|1|0||||||
27BB120|ACRILICO MARTILLADO 2.4 X 1.2 X10 mm.|M2||||||||||||916,15176||1|1|0||||||
27CA001|MASILLA|KG||||||||||||5,21304||1|1|0||||||
27CB001|SILICONA|LT||||||||||||33,4776||1|1|0||||||
28BA001|CORTINA GRUESA|ML||||||||||||0||1|1|0||||||
28BA002|CORTINA NORMAL|ML||||||||||||0||1|1|0||||||
28BA003|STORES COMUNES|ML||||||||||||0||1|1|0||||||
28BA004|STORES DE GASA|ML||||||||||||0||1|1|0||||||
29AA001|"CERROJO DE 4"""|PZA||||||||||||12,23568||1|1|0||||||
29AA002|CHAPA CHINA|PZA||||||||||||30,3456||1|1|0||||||
29AA003|CHAPA DE EMBUTIR 2 MANILLAS BARROCAS|PZA||||||||||||0||1|1|0||||||
29AA004|CHAPA DE EMBUTIR 2 MANILLAS CLASICAS|PZA||||||||||||93,63984||1|1|0||||||
29AA005|CHAPA DE EMBUTIR 2 MANILLAS LISAS C.N.|PZA||||||||||||0||1|1|0||||||
29AA006|CHAPA DE EMBUTIR 2 MANILLAS LISAS G.D.|PZA||||||||||||0||1|1|0||||||
29AA007|CHAPA DE EMBUTIR 2 MANILLAS LUJO|PZA||||||||||||138,46224||1|1|0||||||
29AA008|CHAPA DE EMBUTIR 2 MANILLAS PLASTICAS|PZA||||||||||||63,684||1|1|0||||||
29AA009|CHAPA DE EMBUTIR S/LLAVE|PZA||||||||||||42,9432||1|1|0||||||
29AA010|CHAPA DOBLE MANIAL EXT. COLONIAL|PZA||||||||||||0||1|1|0||||||
29AA011|CHAPA DOBLE MANIAL INT.|PZA||||||||||||0||1|1|0||||||
29AA012|CHAPA DOBLE MANILA EXT.|PZA||||||||||||0||1|1|0||||||
29AA013|CHAPA DOBLE MANILA P/BA�O|PZA||||||||||||309,72||1|1|0||||||
29AA014|CHAPA DOBLE PERILLA EXT.|PZA||||||||||||0||1|1|0||||||
29AA015|CHAPA DOBLE PERILLA INT.|PZA||||||||||||81,432||1|1|0||||||
29AA016|CHAPA DOBLE PERILLA P/BA�O|PZA||||||||||||0||1|1|0||||||
29AA017|CHAPA ESPECIAL PARA PUERTA DE VIDRIO|PZA||||||||||||278,4||1|1|0||||||
29AA018|CHAPA EXTERIOR (De embutir-Tipo PAPAIZ)|PZA||||||||||||89,70744||1|1|0||||||
29AA019|CHAPA EXTERIOR TIPO YALE|PZA||||||||||||109,87056||1|1|0||||||
29AA020|CHAPA INTERIOR(De embutir-Tipo PAPAIZ)|PZA||||||||||||85,94904||1|1|0||||||
29AA021|CHAPA TUBULAR P/BA�O C/POMO CR-MAD.|PZA||||||||||||0||1|1|0||||||
29AA022|CHAPA TUBULAR P/BA�O C/SEGURO INT.|PZA||||||||||||68,9736||1|1|0||||||
29AA023|CHAPA TUBULAR P/BA�O C/SEGURO INT. C.R.|PZA||||||||||||0||1|1|0||||||
29AA024|CHAPA TUBULAR P/DORMITORIO C/3 LLAVES|PZA||||||||||||0||1|1|0||||||
29AA025|CHAPA TUBULAR P/DORMITORIO C/POMO MADERA|PZA||||||||||||0||1|1|0||||||
29AA026|CHAPA TUBULAR P/OF. C/3 LLAVES|PZA||||||||||||0||1|1|0||||||
29AA027|FALLEBA|PZA||||||||||||0||1|1|0||||||
29AB001|CREMONA|PZA||||||||||||72,85728||1|1|0||||||
29AB002|"PICAPORTE DE 1/2 CA�A  6"""|PZA||||||||||||4,18992||1|1|0||||||
29AB003|"PICAPORTE DE 1/2 CA�A 12"""|PZA||||||||||||1,39896||1|1|0||||||
29AB004|PICAPORTE DE 15CM|PZA||||||||||||12,5976||1|1|0||||||
29AB005|PICAPORTE DE 20CM|PZA||||||||||||0||1|1|0||||||
29AB006|"PICAPORTE DE 3"""|PZA||||||||||||8,29632||1|1|0||||||
29AB007|PICAPORTE DE 30CM|PZA||||||||||||0||1|1|0||||||
29AB008|"PICAPORTE DE 4"""|PZA||||||||||||9,30552||1|1|0||||||
29AB009|"PICAPORTE DE 6"""|PZA||||||||||||13,68336||1|1|0||||||
29AB010|PICAPORTE EMBUTIDO DE 10 CM|PZA||||||||||||0||1|1|0||||||
29AB011|PICAPORTE EMBUTIDO DE 15 CM|PZA||||||||||||0||1|1|0||||||
29AB012|PICAPORTE EMBUTIDO DE 30 CM|PZA||||||||||||1,39896||1|1|0||||||
29AB013|"PICAPORTE P/VENTANA DE 1 1/2"""|PZA||||||||||||2,96496||1|1|0||||||
29AB014|"PICAPORTE P/VENTANA DE 2 """|PZA||||||||||||0||1|1|0||||||
29AB015|"PICAPORTE P/VENTANA DE 3"""|PZA||||||||||||0||1|1|0||||||
29AB016|"PICAPORTE P/VENTANA DE 4"""|PZA||||||||||||10,96896||1|1|0||||||
29AB017|PICAPORTE PORTACANDADO|PZA||||||||||||8,9088||1|1|0||||||
29AB018|PICAPORTE TIPO ANGOSTO|PZA||||||||||||0||1|1|0||||||
29AB019|PICAPORTE TIPO CANDADO|PZA||||||||||||0||1|1|0||||||
29AB020|PICAPORTE TIPO MARIPOSA|PZA||||||||||||0||1|1|0||||||
29AC001|CANDADO  MEDIANO|PZA||||||||||||12,5976||1|1|0||||||
29AC002|CANDADO DE 20 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC003|CANDADO DE 25 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC004|CANDADO DE 30 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC005|CANDADO DE 40 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC006|CANDADO DE 50 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC007|CANDADO DE 60 MM (PAPAIZ)|PZA||||||||||||0||1|1|0||||||
29AC008|CANDADO DOBLE GOLPE|PZA||||||||||||17,748||1|1|0||||||
29AD001|FALLEBAS (OCUPADO- LIBRE)|PZA||||||||||||0||1|1|0||||||
29BA001|BISAGRA ALA|PZA||||||||||||0||1|1|0||||||
29BA002|BISAGRA ANCHA C/PERILLAS REDONDAS|PZA||||||||||||0||1|1|0||||||
29BA003|BISAGRA ANCHA DE BRONCE|PZA||||||||||||0||1|1|0||||||
29BA004|BISAGRA ANGOSTA PASADOR REMACHADO|PZA||||||||||||0||1|1|0||||||
29BA005|BISAGRA ANGOSTA PASADOR SUELTO|PZA||||||||||||2,2272||1|1|0||||||
29BA006|BISAGRA ANGOSTA PASADOR SUELTO C/CABEZA|PZA||||||||||||0||1|1|0||||||
29BA007|BISAGRA C/SOPORTE UNA ACCION|PZA||||||||||||0||1|1|0||||||
29BA008|"BISAGRA DOBLE 2"""|PZA||||||||||||6,96||1|1|0||||||
29BA009|"BISAGRA DOBLE 2 1/2"""|PZA||||||||||||0||1|1|0||||||
29BA010|"BISAGRA DOBLE 3"""|PZA||||||||||||3,74448||1|1|0||||||
29BA011|"BISAGRA DOBLE 3 1/2"""|PZA||||||||||||0||1|1|0||||||
29BA012|"BISAGRA DOBLE 4"""|PZA||||||||||||6,41016||1|1|0||||||
29BA013|"BISAGRA DOBLE 6"""|PZA||||||||||||16,12632||1|1|0||||||
29BA014|BISAGRA EN TE|PZA||||||||||||0||1|1|0||||||
29BA015|BISAGRA MEDIO PASADOR REMACHADO|PZA||||||||||||0||1|1|0||||||
29BA016|BISAGRA PARA CORRAL|PZA||||||||||||0||1|1|0||||||
29BA017|BISAGRA PARA PUERTA DE VIDRIO|PZA||||||||||||104,4||1|1|0||||||
29BA018|BISAGRA PASADOR SUELTO|PZA||||||||||||0||1|1|0||||||
29BA019|"BISAGRA SENCILLA 2"""|PZA||||||||||||0||1|1|0||||||
29BA020|"BISAGRA SENCILLA 2 1/2"""|PZA||||||||||||0||1|1|0||||||
29BA021|"BISAGRA SENCILLA 3"""|PZA||||||||||||0||1|1|0||||||
29BA022|"BISAGRA SENCILLA 3 1/2"""|PZA||||||||||||0||1|1|0||||||
29BA023|"BISAGRA SENCILLA 4"""|PZA||||||||||||0||1|1|0||||||
29BA024|BISAGRA TE|PZA||||||||||||17,748||1|1|0||||||
29BA025|"BISAGRA VAIVEN DOBLE 3"""|PZA||||||||||||0||1|1|0||||||
29BA026|"BISAGRA VAIVEN DOBLE 4"""|PZA||||||||||||34,9392||1|1|0||||||
29BA027|"BISAGRA VAIVEN SENCILLA 3"""|PZA||||||||||||0||1|1|0||||||
29BA028|"BISAGRA VAIVEN SENCILLA 4"""|PZA||||||||||||0||1|1|0||||||
29BA030|BISAGRA VAIVEN|PZA||||||||||||6,96||1|1|0||||||
29BA050|MEDIO PASADOR SUELTO|PZA||||||||||||0||1|1|0||||||
29BA051|CIERRA PUERTA DE PISO|PZA||||||||||||696||1|1|0||||||
29BB001|JALADOR DE 25 MM|PZA||||||||||||4,67016||1|1|0||||||
29BB002|JALADOR DE 28 MM|PZA||||||||||||0||1|1|0||||||
29BB003|JALADOR DE 32 MM|PZA||||||||||||0||1|1|0||||||
29BB004|JALADOR DE 40 MM|PZA||||||||||||8,30328||1|1|0||||||
29BB005|JALADOR DE 46 MM|PZA||||||||||||0||1|1|0||||||
29BB006|JALADOR DE 50 MM|PZA||||||||||||1,39896||1|1|0||||||
29BB007|JALADOR DE 50 MM|PZA||||||||||||0||1|1|0||||||
29BB008|"JALADOR DE 6"""|PZA||||||||||||6,72336||1|1|0||||||
29BC001|"ALDABA DE 4"""|PZA||||||||||||6,96696||1|1|0||||||
29BC002|ALDABA PARA VENTANA|PZA||||||||||||0||1|1|0||||||
29BD001|RIEL P/PUERTA COLGANTE DE 1.20 M|ML||||||||||||0||1|1|0||||||
29BD002|RIEL P/PUERTA CORREDIZA DE HIERRO 1X1/8|ML||||||||||||0||1|1|0||||||
29BD003|RIEL PARA PUERATA COLGANTE DE 1.80 M|ML||||||||||||0||1|1|0||||||
29BD004|RIEL PARA PUERATA COLGANTE DE 2.00 M|ML||||||||||||0||1|1|0||||||
29BD005|RIEL PARA PUERATA COLGANTE DE 2.40 M|ML||||||||||||0||1|1|0||||||
29BD006|RIEL PARA PUERATA COLGANTE DE 3.00 M|ML||||||||||||0||1|1|0||||||
29BD007|RIEL PARA PUERTA Y VENTANA CORREDIZA|ML||||||||||||0||1|1|0||||||
35AA001|"TUBERIA DE Ho  4"" P/DESAGUE"|ML||||||||||||11,57448||1|1|0||||||
35AA002|"TUBERIA DE Ho  6"" P/DESAGUE"|ML||||||||||||18,36048||1|1|0||||||
35AA003|"TUBERIA DE Ho  8"" P/DESAGUE"|ML||||||||||||26,21832||1|1|0||||||
35AA004|"TUBERIA DE Ho 10"" P/DESAGUE"|ML||||||||||||38,89248||1|1|0||||||
35AA005|"TUBERIA DE Ho 12"" P/DESAGUE"|ML||||||||||||62,31288||1|1|0||||||
35AA006|"TUBERIA DE Ho 14"" P/DESAGUE"|ML||||||||||||97,092||1|1|0||||||
35AA007|"TUBERIA DE Ho 16"" P/DESAGUE"|ML||||||||||||110,12808||1|1|0||||||
35AA008|"TUBERIA DE Ho 18"" P/DESAGUE"|ML||||||||||||149,0136||1|1|0||||||
35AA009|"TUBERIA DE Ho 22"" P/DESAGUE"|ML||||||||||||261,19488||1|1|0||||||
35AA010|"TUBERIA DE Ho 24"" P/DESAGUE"|ML||||||||||||283,4112||1|1|0||||||
35AA011|"TUBERIA DE Ho 28"" P/DESAGUE"|ML||||||||||||398,1468||1|1|0||||||
35AA012|"TUBERIA DE Ho 32"" P/DESAGUE"|ML||||||||||||410,7096||1|1|0||||||
35AA013|"TUBERIA DE Ho 40"" P/DESAGUE"|ML||||||||||||525,7584||1|1|0||||||
35AA014|"TUBERIA DE Ho 48"""|ML||||||||||||0||1|1|0||||||
35AA049|"TUBO DE Ho  2"" P/DRENAJE"|ML||||||||||||7,2036||1|1|0||||||
35AA050|"TUBO DE Ho  4"" P/DRENAJE"|ML||||||||||||28,3968||1|1|0||||||
35AA051|"TUBO DE Ho  6"" P/DRENAJE"|ML||||||||||||37,3056||1|1|0||||||
35AA052|"TUBO DE Ho  8"" P/DRENAJE"|ML||||||||||||43,2912||1|1|0||||||
35AA053|"TUBO DE Ho 10"" P/DRENAJE"|ML||||||||||||53,8008||1|1|0||||||
35AA054|"TUBO DE Ho 12"" P/DRENAJE"|ML||||||||||||83,6592||1|1|0||||||
35AA055|"TUBO DE Ho 15"" P/DRENAJE"|ML||||||||||||0||1|1|0||||||
35AA056|"TUBO DE Ho 16"" P/DRENAJE"|ML||||||||||||116,5104||1|1|0||||||
35AA057|"TUBO DE Ho 18"" P/DRENAJE"|ML||||||||||||140,3832||1|1|0||||||
35AA058|"TUBO DE Ho 20"" P/DRENAJE"|ML||||||||||||0||1|1|0||||||
35AA059|"TUBO DE Ho 21"" P/DRENAJE"|ML||||||||||||0||1|1|0||||||
35AA060|"TUBO DE Ho 22"" P/DRENAJE"|ML||||||||||||222,5112||1|1|0||||||
35AA061|"TUBO DE Ho 24"" P/DRENAJE"|ML||||||||||||252,4392||1|1|0||||||
35AA062|"TUBO DE Ho 28"" P/DRENAJE"|ML||||||||||||353,9856||1|1|0||||||
35AA100|"TUBO PERFORADO DE Ho  6"""|ML||||||||||||37,3056||1|1|0||||||
35AA101|"TUBO PERFORADO DE Ho  8"""|ML||||||||||||43,2912||1|1|0||||||
35AA102|"TUBO PERFORADO DE Ho 10"""|ML||||||||||||53,8008||1|1|0||||||
35AA103|"TUBO PERFORADO DE Ho 12"""|ML||||||||||||83,6592||1|1|0||||||
35AA104|"TUBO PERFORADO DE Ho 48"""|ML||||||||||||636,2832||1|1|0||||||
35AA105|"TUBO PERFORADO DE Ho 16"""|ML||||||||||||0||1|1|0||||||
35AA106|"TUBO PERFORADO DE Ho 18"""|ML||||||||||||0||1|1|0||||||
35AA151|TUBO CONCRETO D= 500|ML||||||||||||0||1|1|0||||||
35AA152|TUBO CONCRETO D= 600|ML||||||||||||176,436||1|1|0||||||
35AA153|TUBO CONCRETO D= 800|ML||||||||||||0||1|1|0||||||
35AA154|TUBO CONCRETO D=1000|ML||||||||||||0||1|1|0||||||
35AA161|TUBO CONCRETO D= 500 COMP.|ML||||||||||||0||1|1|0||||||
35AA162|TUBO CONCRETO D= 600 COMP.|ML||||||||||||522,696||1|1|0||||||
35AA163|TUBO CONCRETO D= 800 COMP.|ML||||||||||||0||1|1|0||||||
35AA164|TUBO CONCRETO D=1000 COMP.|ML||||||||||||0||1|1|0||||||
35AD001|"CODO DE CEMENTO 45   4"""|PZA||||||||||||8,9784||1|1|0||||||
