744789,GNIKO CORREA NIÑA VERDE XS-XL,GNIKO CORREA NIÑA VERDE XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744790,GNIKO CORREA NIÑA BLANCO XS-XL,GNIKO CORREA NIÑA BLANCO XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744791,GNIKO CORREA NIÑA FUCSIA XS-XL,GNIKO CORREA NIÑA FUCSIA XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744792,GNIKO CORREA NIÑA TURQUESA XS-XL,GNIKO CORREA NIÑA TURQUESA XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744793,GNIKO CORREA NIÑA NGRO XS-XL,GNIKO CORREA NIÑA NGRO XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744794,GNIKO CORREA NIÑA ROJO XS-XL,GNIKO CORREA NIÑA ROJO XS-XL,,,,GNIKO (355),,,,,,,146.3,168.1611701,14.9427,1,0,0,,2015-08-24
744795,GNIKO CORREA NIÑA GOLD XS-XL,GNIKO CORREA NIÑA GOLD XS-XL,,,,GNIKO (355),,,,,,,124.25,142.81630475,14.9427,1,0,0,,2015-08-24
744796,GNIKO CORREA NIÑA SILVER XS-XL,GNIKO CORREA NIÑA SILVER XS-XL,,,,GNIKO (355),,,,,,,124.25,142.81630475,14.9427,1,0,0,,2015-08-24
744797,GNIKO CORREA NIÑA NEGRO XS-XL,GNIKO CORREA NIÑA NEGRO XS-XL,,,,GNIKO (355),,,,,,,124.25,142.81630475,14.9427,1,0,0,,2015-08-24
744798,GNIKO CORREA NIÑA ROSA XS-XL,GNIKO CORREA NIÑA ROSA XS-XL,,,,GNIKO (355),,,,,,,124.25,142.81630475,14.9427,1,0,0,,2015-08-24
744799,GNIKO CORREA NIÑA BLCO XS-XL,GNIKO CORREA NIÑA BLCO XS-XL,,,,GNIKO (355),,,,,,,124.25,142.81630475,14.9427,1,0,0,,2015-08-24
744800,GNIKO CORREA NIÑA BLCO XS-XL,GNIKO CORREA NIÑA BLCO XS-XL,,,,GNIKO (355),,,,,,,131.25,150.86229375,14.9427,1,0,0,,2015-08-24
744801,GNIKO CORREA NIÑA AZUL MRNO XS-XL,GNIKO CORREA NIÑA AZUL MRNO XS-XL,,,,GNIKO (355),,,,,,,131.25,150.86229375,14.9427,1,0,0,,2015-08-24
744802,GNIKO CORREA NIÑA AMARILLO XS-XL,GNIKO CORREA NIÑA AMARILLO XS-XL,,,,GNIKO (355),,,,,,,131.25,150.86229375,14.9427,1,0,0,,2015-08-24
744803,GNIKO CORREA NIÑA VIOLETS XS-XL,GNIKO CORREA NIÑA VIOLETS XS-XL,,,,GNIKO (355),,,,,,,131.25,150.86229375,14.9427,1,0,0,,2015-08-24
