cod_grupo;des_grupo;code_categorie;des_clase;ref;label
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9943;DMMI - ALBAÑILERIA                                                                                  ;9943038;RODILLO DE PINTAR MARCA TIGRE                                                                       
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944024;GOMA DE REGISTRO PARA CAJA SIFONADA                                                                 
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944107;JUEGO REPARACION DE TOPE DE CONTROL H-541 A                                                         
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944114;NIPLE EXAGONAL DE 1/2 PUL                                                                           
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944143;MEZCLADORA DE MESON PARA LAVAMANOS                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944165;EMPAQUETADURA ANCHOR (SELLO ANTI FUGA P/INODORO)                                                    
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     ;9944170;CINTA TEFLON DE 3/4                                                                                 
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945006;CABLE BAJO GOMA DE 3 X 12                                                                           
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945008;CABLE BIPOLAR # 2 X 10                                                                              
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945033;FOCO CLARO INCANDECENTE DE 60 W 220 V                                                               
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945041;FOCO PEQUEÑO DE 220 V 40 W ROSCA MUÑON                                                              
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945067;TERMICO 220 V 32 A MONOPOLAR                                                                        
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945074;TUBOS FLORECENTES DE 40 W 220 V                                                                     
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 ;9945104;LAMPARA INCANDESCENTE DE 100W                                                                       
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9948;DMMI - ELECTRONICA                                                                                  ;9948006;CABLE DE 4 HILOS PARA TELEFONO                                                                      
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9948;DMMI - ELECTRONICA                                                                                  ;9948007;ROSETA RJ 11 DE 1 SALIDA                                                                            
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9948;DMMI - ELECTRONICA                                                                                  ;9948012;CONECTORES RJ # 11                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9948;DMMI - ELECTRONICA                                                                                  ;9948038;ROSETA PARA TELEFONO DE 2 SALIDAS RJ 11                                                             
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9949;DMMI - SEGURIDAD MECANICA                                                                           ;9949008;REMACHE POP DE 3,2 X 14 PUL                                                                         
